"","Species","Non_obese_mean","Obese_mean","Difference","p_value","sig_star"
"mean in group Non-obese","Bifidobacterium Thermophilum",162.703071672355,203.360655737705,-40.65758406535,0.0714536518671361,"ns"
"mean in group Non-obese1","Bifidobacterium Adolescentis",361277.839590444,397497.028688525,-36219.1890980809,0.464630550166379,"ns"
"mean in group Non-obese2","Bifidobacterium Bifidum",79356.8532423208,97110.6598360656,-17753.8065937448,0.267017708688155,"ns"
"mean in group Non-obese3","Bifidobacterium Angulatum",3879.80204778157,3290.41393442623,589.38811335534,0.708603111996453,"ns"
"mean in group Non-obese4","Bifidobacterium Asteroides",53.4607508532423,68.6967213114754,-15.2359704582331,0.0439960245386747,"*"
"mean in group Non-obese5","Bifidobacterium Breve",17028.4812286689,6096.7131147541,10931.7681139148,0.168958282547997,"ns"
"mean in group Non-obese6","Bifidobacterium Catenulatum",39173.0307167236,61890.106557377,-22717.0758406535,0.137083627680465,"ns"
"mean in group Non-obese7","Bifidobacterium Dentium",2806.49829351536,1891.70081967213,914.797473843227,0.189074345319694,"ns"
"mean in group Non-obese8","Bifidobacterium Pseudolongum",259.133105802048,340.700819672131,-81.5677138700834,0.107539115731231,"ns"
"mean in group Non-obese9","Bifidobacterium Choerinum",91.6689419795222,126.561475409836,-34.8925334303139,0.0855106001167667,"ns"
"mean in group Non-obese10","Bifidobacterium Sp. Krgserbcftri",8661.33788395904,8605.64754098361,55.6903429754384,0.966435286654188,"ns"
"mean in group Non-obese11","Bifidobacterium Sp. Fku",492.924914675768,346.352459016393,146.572455659374,0.275518916633381,"ns"
"mean in group Non-obese12","Bifidobacterium Sp. Tku",605.300341296928,753.762295081967,-148.461953785039,0.473685670935711,"ns"
"mean in group Non-obese13","Bifidobacterium Sp. Sku",2864.67576791809,2935.26639344262,-70.5906255245341,0.942992020418915,"ns"
"mean in group Non-obese14","Bifidobacterium Saguini",100.279863481229,125.258196721311,-24.9783332400828,0.09660083278846,"ns"
"mean in group Non-obese15","Bifidobacterium Subtile",99.5836177474403,133.422131147541,-33.8385134001007,0.0490051016763157,"*"
"mean in group Non-obese16","Bifidobacterium Pullorum",315.409556313993,968.012295081967,-652.602738767974,0.136075330913237,"ns"
"mean in group Non-obese17","Bifidobacterium Actinocoloniiforme",29.6348122866894,40.1967213114754,-10.561909024786,0.0403686610961352,"*"
"mean in group Non-obese18","Bifidobacterium Longum",257893.361774744,226396.971311475,31496.3904632686,0.294106591305496,"ns"
"mean in group Non-obese19","Bifidobacterium Imperatoris",133.430034129693,207.020491803279,-73.5904576735859,0.117304533005528,"ns"
"mean in group Non-obese20","Bifidobacterium Scardovii",285.064846416382,329.094262295082,-44.0294158786998,0.281761321954701,"ns"
"mean in group Non-obese21","Bifidobacterium Animalis",1928.87030716724,2693.8237704918,-764.953463324568,0.264569217112883,"ns"
"mean in group Non-obese22","Bifidobacterium Pseudocatenulatum",127189.167235495,97511.8114754098,29677.355760085,0.110559942959098,"ns"
"mean in group Non-obese23","Bifidobacterium Eulemuris",115.447098976109,135.680327868852,-20.2332288927432,0.244365059823714,"ns"
"mean in group Non-obese24","Bifidobacterium Lemurum",101.976109215017,131.877049180328,-29.9009399653108,0.0734230412399522,"ns"
