"Food","KW_statistic","KW_p_value","KW_p_adjusted","Significant_pairs"
"Fish",36.9781072488593,9.34e-09,3.06885714285714e-08,"C-I, I-M"
"Crustacean",14.1720956738721,0.000837,0.00137507142857143,"C-I, I-M"
"Mollusk",12.2628169520291,0.00217,0.00332733333333333,"C-M, I-M"
"Poultry",29.0771805015372,4.85e-07,1.23944444444444e-06,"C-I, I-M"
"Red_meat",59.8883372420063,9.89e-14,4.5494e-13,"C-I, C-M, I-M"
"Processed_meat",30.3259430537776,2.6e-07,7.475e-07,"C-I, C-M, I-M"
"Dairy",6.80988125603831,0.0332,0.047725,"C-I"
"Cruciferous_veg",21.6202292849249,2.02e-05,4.22363636363636e-05,"C-I, C-M"
"Legumes",77.0317897730106,1.87e-17,1.07525e-16,"C-I, I-M"
"Mushrooms",28.3002753091163,7.16e-07,1.6468e-06,"C-I, C-M"
"Fruits",5.50207858621444,0.0639,0.0864529411764706,"None"
"Papaya",1.39679683013013,0.497,0.519590909090909,"None"
"Orange",4.7292621342029,0.094,0.113789473684211,"None"
"Wholegrain",5.11696781461893,0.0774,0.0989,"None"
"Chapati",218.075891918101,4.42e-48,5.083e-47,"C-I, I-M"
"Idli_Thosai",270.947028736724,1.46e-59,3.358e-58,"C-I, C-M, I-M"
"Noodle_dishes",37.7739194998319,6.27e-09,2.4035e-08,"C-I, I-M"
"Deep_fried",15.4266619839192,0.000447,0.000790846153846154,"C-M, I-M"
"Coffee",2.23587100817225,0.327,0.37605,"None"
"Tea",2.08035983210074,0.353,0.386619047619048,"None"
"Lontong",19.3061408892522,6.42e-05,0.00012305,"C-M, I-M"
"Pork",194.231641726594,6.65e-43,5.09833333333333e-42,"C-I, C-M"
"Rice",1.27327099265016,0.529,0.529,"None"
