"","species","logFC","p_value","logP"
"1","Starkeya novella",0.342351033932702,0.687022092067641,0.163029297425446
"2","Starkeya sp. ORNL1",-0.178543978639019,0.865155318224031,0.062905918208712
"3","Xanthobacter autotrophicus",-0.161933310203248,0.942039530771756,0.0259308725406428
"4","Xanthobacter dioxanivorans",0.118153060494115,0.951205816064255,0.0217255029258553
"5","Pseudolabrys taiwanensis",0.24277401855308,0.863919256018693,0.0635268458361357
"6","Ancylobacter polymorphus",-1.20926052648259,0.21504799298527,0.667464606304447
"7","Ancylobacter sp. TS-1",0.91182243364579,0.623398847611009,0.20523400487702
"8","Azorhizobium caulinodans",0.359440925096072,0.805046937272978,0.0941787978875491
"9","Aquabacter sp. L1I39",-0.0587702716953408,0.978942158831164,0.00924296789303469
"10","Labrys sp. KNU-23",0.353149508857697,0.810742143089354,0.0911172513869936
"11","Rhizobium sp. L51/94",0.0945779354426376,0.943396897933812,0.0253055561297945
"12","Rhizobium sp. K102",-0.0889977375430618,0.979064990685946,0.00918847861620344
"13","Rhizobium sp. BT-226",-0.670886458302956,0.398741555081659,0.399308501728551
"14","Rhizobium sp. AB2/73",0.461756860762646,0.823957276331225,0.0840953066701579
"15","Rhizobium sp. WL3",1.06796549675503,0.515688250033437,0.287612763888565
"16","Rhizobium sp. NXC14",0.352390853009817,0.847029098424644,0.0721016698721442
"17","Rhizobium sp. Kim5",0.319673760027122,0.875240872510475,0.0578724095992093
"18","Rhizobium sp. TH2",-0.136932384515384,0.943780528680575,0.0251289869144645
"19","Rhizobium sp. 11515TR",0.427807664994976,0.823957276331225,0.0840953066701579
"20","Rhizobium sp. WYJ-E13",-0.200911212257537,0.886810834886028,0.052169009397797
"21","Rhizobium sp. ACO-34A",0.235829763124621,0.923902004117479,0.0343740908231978
"22","Rhizobium leguminosarum",0.0213330778726328,0.970076945218592,0.0131938167043563
"23","Rhizobium phaseoli",0.226508640902756,0.904532785078674,0.0435756873771729
"24","Rhizobium tropici",-0.126791482254041,0.905733270781516,0.0429996787942494
"25","Rhizobium jaguaris",-0.105416048192385,0.953828817822368,0.0205295604593231
"26","Rhizobium esperanzae",-0.0436902629487066,0.986362946316327,0.00596325080061471
"27","Rhizobium oryzihabitans",0.46962606864781,0.805046937272978,0.0941787978875491
"28","Rhizobium gallicum",-0.132234393951361,0.906842401510855,0.0424681816292539
"29","Rhizobium binae",-0.14360917462405,0.910714114330449,0.0406179326364886
"30","Rhizobium rhizoryzae",0.648739790523018,0.760730313311486,0.118769277787826
"31","Rhizobium pusense",0.703968441080476,0.26943723276577,0.569542390545378
"32","Rhizobium etli",0.512310718136514,0.483160291723403,0.315908765185832
"33","Agrobacterium tumefaciens",-0.00160002863105201,0.99812638478384,0.000814463984128941
"34","Agrobacterium rhizogenes",0.615721718913564,0.761129154669461,0.118541642308291
"35","Agrobacterium vitis",0.280855250770228,0.715455037760551,0.145417653960178
"36","Agrobacterium vaccinii",-0.0497267634563927,0.970076945218592,0.0131938167043563
"37","Agrobacterium larrymoorei",0.157124517534211,0.921600218806256,0.0354574308106873
"38","Neorhizobium galegae",-0.0134443832421282,0.99471103647712,0.00230306346520759
"39","Neorhizobium sp. SOG26",-0.385564253843289,0.793142685337359,0.100648676641543
"40","Pararhizobium sp. BT-229",0.0706242656048738,0.97149296581836,0.0125603396008231
"41","Sinorhizobium meliloti",0.204452448193075,0.823957276331225,0.0840953066701579
"42","Sinorhizobium sp. BG8",0.488107587468345,0.815163922139245,0.0887550497604247
"43","Sinorhizobium americanum",-0.017892088803131,0.99471103647712,0.00230306346520759
"44","Sinorhizobium fredii",0.296762090417111,0.686273607658673,0.163502702651803
"45","Ensifer adhaerens",0.254771525749315,0.771564438018576,0.112627797524024
"46","Ensifer alkalisoli",0.642245311219728,0.733123840290448,0.134822657539008
"47","Ensifer sp. PDNC004",0.0647597252028635,0.972096934100965,0.0122904265900241
"48","Ensifer sojae",0.509129793946404,0.688933060103651,0.161822974086458
"49","Ciceribacter thiooxidans",0.520536840217473,0.771564438018576,0.112627797524024
"50","Shinella sp. XGS7",0.229701228254495,0.847483367804754,0.0718688162416902
"51","Shinella sp. HZN7",-1.31394263515311,0.771564438018576,0.112627797524024
"52","Shinella sp. PSBB067",-1.04079451587555,0.781832369463468,0.106886352849346
"53","Shinella oryzae",-1.17142475906024,0.362426282912293,0.440780315107034
"54","Shinella zoogloeoides",-1.01328065607332,0.839538893041206,0.0759591796427622
"55","Georhizobium profundi",-0.193417550485356,0.916463094224361,0.0378850192968848
"56","Mesorhizobium sp. B1-1-8",-0.13488112342343,0.934104126804293,0.0296047092346346
"57","Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1",-0.227816957653349,0.848721019243976,0.0712350420455292
"58","Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1",-1.69481652840963,0.10640295682444,0.973046303293829
"59","Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1",-0.0451280746554501,0.986362946316327,0.00596325080061471
"60","Mesorhizobium sp. DCY119",-0.156463481099694,0.922069658168898,0.0352362687341834
"61","Mesorhizobium sp. AR07",0.104801442995489,0.908452573018177,0.0416977406885214
"62","Mesorhizobium sp. AR10",-0.164973495891672,0.916463094224361,0.0378850192968848
"63","Mesorhizobium sp. Pch-S",-0.378731409579085,0.717585191627108,0.144126532144832
"64","Mesorhizobium sp. 131-2-1",0.230381992492713,0.904532785078674,0.0435756873771729
"65","Mesorhizobium sp. L-8-3",0.159146398885556,0.928532695558408,0.0322027992471954
"66","Mesorhizobium sp. L-8-10",-0.355191707082889,0.828316460975457,0.0818037079036935
"67","Mesorhizobium sp. J8",0.276381428219573,0.846605893600861,0.0723187125340812
"68","Mesorhizobium sp. 8",0.0835495201859747,0.95465845419928,0.0201519770942596
"69","Mesorhizobium loti",-0.0548693649142131,0.937594599639346,0.0279849027696564
"70","Mesorhizobium opportunistum",0.176186307562805,0.903650222189495,0.0439996402863647
"71","Mesorhizobium ciceri",-0.175358467158911,0.896045783846855,0.0476697993065597
"72","Nitratireductor sp. SY7",0.109403447371815,0.923859556652847,0.0343940443713774
"73","Nitratireductor sp. OM-1",-0.109802188003347,0.955582838342529,0.0197316585036445
"74","Aminobacter sp. MDW-2",-0.696278881223746,0.728949135061083,0.137302775019462
"75","Aminobacter sp. MSH1",0.247285564943392,0.890484815795989,0.0503734815597903
"76","Aquibium microcysteis",-0.0233106311365833,0.986175338231822,0.00604586228323575
"77","Aquibium oceanicum",0.582642068955665,0.722338301971554,0.141259356074408
"78","Phyllobacterium sp. T1018",-0.0936700396527782,0.955582838342529,0.0197316585036445
"79","Phyllobacterium sp. T1293",-0.366602156573112,0.823709659464408,0.0842258411093191
"80","Phyllobacterium zundukense",0.429961315776969,0.683075744131585,0.165531136092274
"81","Roseitalea porphyridii",0.252596098407135,0.863987281267999,0.0634926507106689
"82","Salaquimonas pukyongi",0.245836102744171,0.903650222189495,0.0439996402863647
"83","Methylocystis rosea",0.532744601993742,0.729486527695432,0.136982724334697
"84","Methylocystis heyeri",0.332790204632221,0.853170177462976,0.0689643337074044
"85","Methylocystis bryophila",-0.263418869090709,0.89793137402269,0.0467568537805119
"86","Methylosinus trichosporium",-0.50515674166974,0.667509113529698,0.175542800482279
"87","Methylosinus sp. C49",0.209810878072698,0.875240872510475,0.0578724095992093
"88","Chenggangzhangella methanolivorans",0.167875996411957,0.908847984149526,0.041508751724136
"89","Methylobacterium sp. 4-46",-0.0129432099244275,0.99516288367536,0.00210583011665736
"90","Methylobacterium sp. FF17",-0.132299706807196,0.93761617064135,0.027974911181203
"91","Methylobacterium organophilum",-0.494400042488221,0.735309873190481,0.133529602607945
"92","Methylobacterium indicum",-0.137057025580177,0.934237254289635,0.0295428184763859
"93","Methylobacterium oryzae",0.452099116093209,0.753028519155783,0.123188575622085
"94","Methylobacterium durans",0.112135470706869,0.943396897933812,0.0253055561297945
"95","Methylobacterium terrae",0.399381386618047,0.788619921419557,0.103132256360808
"96","Methylobacterium radiodurans",0.296425156467099,0.802457162900968,0.0955781419913552
"97","Methylobacterium brachiatum",-0.091260680261617,0.919475073275918,0.0364600398739277
"98","Methylobacterium aquaticum",0.124893663100961,0.877187281637965,0.0569076737962627
"99","Methylobacterium nodulans",0.12989379807437,0.896045783846855,0.0476697993065597
"100","Methylobacterium currus",0.433251847088469,0.719641592238252,0.142883744218145
"101","Methylobacterium radiotolerans",-0.479279401460861,0.748128634005349,0.126023722676064
"102","Methylorubrum extorquens",-0.0779651206386911,0.916463094224361,0.0378850192968848
"103","Methylorubrum sp. B1-46",0.0888131549485415,0.967534367513755,0.0143335995839937
"104","Methylorubrum populi",0.389718424584587,0.696864266513676,0.156851804462463
"105","Microvirga ossetica",0.844141918729233,0.554158212988921,0.256366225851768
"106","Microvirga sp. VF16",0.382458783428217,0.810457377480915,0.0912698200647952
"107","Microvirga thermotolerans",-0.384772194805864,0.847029098424644,0.0721016698721442
"108","Brucella anthropi",-0.217225805256969,0.871556991313699,0.0597042090086055
"109","Brucella pseudintermedia",-0.0260740243235346,0.994356708445946,0.002457791941141
"110","Brucella intermedia",-0.741172526712151,0.693838903353362,0.158741353041061
"111","Bradyrhizobium japonicum",0.308553310349021,0.761554575705543,0.118298968127727
"112","Bradyrhizobium sp.",0.767135384699427,0.693838903353362,0.158741353041061
