"species"
"Oxalobacter formigenes"
"Crenobacter cavernae"
"Bifidobacterium catenulatum"
"Bifidobacterium pseudolongum"
"Bifidobacterium choerinum"
"Bifidobacterium saguini"
"Bifidobacterium subtile"
"Ligilactobacillus ruminis"
"Flavobacterium sp. MDT1-60"
"Flavivirga eckloniae"
"Escherichia sp. E4742"
"Escherichia albertii"
"Kluyvera intermedia"
"Xanthomonas oryzae"
"Francisella philomiragia"
"Burkholderia sp. PAMC 26561"
"Ornithinimicrobium ciconiae"
"Gordonia phthalatica"
"Micromonospora sagamiensis"
"Bifidobacterium sp. KRGSERBCFTRI"
"Eubacterium callanderi"
"Faecalibacillus intestinalis"
"Campylobacter sp. RM6914"
"Formosa sp. L2A11"
"Apibacter sp. B3706"
"Leptospira biflexa"
"Diaphorobacter ruginosibacter"
"Flavobacterium sp. K5-23"
"Flavobacterium kingsejongi"
"Cellulophaga algicola"
"Zunongwangia profunda"
"Chryseobacterium sp. 6424"
"Echinicola strongylocentroti"
