SAM id,Coprothermobacterota,Chlamydiae,Planctomycetota,Verrucomicrobia,Kiritimatiellaeota,Deinococcus-Thermus,Tenericutes,Actinobacteria,Firmicutes,Armatimonadetes,Chloroflexi,Cyanobacteria,Fibrobacteres,Chlorobi,Ignavibacteriae,Bacteroidota,Gemmatimonadetes,Synergistetes,Spirochaetes,Nitrospirae,Fusobacteria,Proteobacteria,Dictyoglomi,Atribacterota,Calditrichaeota,Acidobacteria,Thermotogae,Candidatus Absconditabacteria,Candidatus Saccharibacteria,Candidatus Bipolaricaulota,Elusimicrobia,Aquificae,Thermodesulfobacteria,Caldiserica,Chrysiogenetes,Deferribacteres,Thaumarchaeota,Crenarchaeota,Candidatus Thermoplasmatota,Euryarchaeota,Candidatus Lokiarchaeota,Nanoarchaeota,Chordata,Cressdnaviricota,Cossaviricota,Hofneiviricota,Phixviricota,Negarnaviricota,Duplornaviricota,Kitrinoviricota,Lenarviricota,Pisuviricota,Artverviricota,Nucleocytoviricota,Preplasmiviricota,Dividoviricota,Peploviricota,Uroviricota,unclassified,Candidatus Omnitrophica,Candidatus Cloacimonetes,Balneolaeota,others
WBS1000,0.0,45.0,540.0,251.0,0.0,211.0,264.0,136203,896921,45.0,134.0,763.0,22.0,109.0,22.0,2788155,27.0,161.0,633.0,38.0,373.0,64370,0.0,0.0,0.0,169.0,89.0,0.0,0.0,0.0,0.0,69.0,26.0,0.0,0.0,30.0,23.0,69.0,0.0,624.0,0.0,0.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,1011290,0.0,0.0,0.0,144
WBS1001,0.0,66.0,1082.0,1488.0,33.0,600.0,394.0,507711,1832788,0.0,394.0,1309.0,74.0,212.0,26.0,2185994,57.0,361.0,1208.0,57.0,474.0,105929,0.0,0.0,0.0,598.0,190.0,0.0,48.0,0.0,0.0,39.0,26.0,0.0,0.0,43.0,55.0,82.0,0.0,1662.0,0.0,0.0,2477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,2170136,0.0,0.0,0.0,228
WBS1002,0.0,125.0,2567.0,2190.0,63.0,1492.0,1129.0,523635,1854195,48.0,711.0,3042.0,46.0,436.0,45.0,1603379,153.0,2130.0,2287.0,134.0,826.0,131339,55.0,0.0,55.0,1001.0,367.0,0.0,72.0,22.0,52.0,80.0,45.0,0.0,35.0,139.0,57.0,176.0,48.0,5634.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,21.0,34.0,0.0,26.0,40.0,14487.0,3664582,34.0,27.0,57.0,59
WBS1003,0.0,44.0,981.0,712.0,60.0,977.0,160.0,70588,1343871,0.0,429.0,1396.0,42.0,215.0,0.0,2146436,152.0,554.0,714.0,77.0,198.0,254257,0.0,0.0,0.0,611.0,127.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0,51.0,95.0,62.0,1600.0,0.0,0.0,1587.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,36131.0,1459433,0.0,0.0,0.0,124
WBS1004,0.0,27.0,1245.0,2371.0,89.0,667.0,192.0,2031526,1051669,0.0,354.0,1445.0,26.0,338.0,0.0,850952,69.0,453.0,1343.0,102.0,417.0,146795,0.0,31.0,34.0,438.0,105.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,72.0,59.0,0.0,73.0,0.0,3558.0,0.0,0.0,1294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,1766376,0.0,0.0,23.0,107
WBS1005,0.0,43.0,495.0,8181.0,0.0,182.0,179.0,104996,643445,29.0,224.0,787.0,15.0,97.0,0.0,1814890,41.0,148.0,507.0,47.0,9118.0,306351,0.0,0.0,0.0,153.0,78.0,0.0,20.0,0.0,15.0,43.0,15.0,0.0,15.0,15.0,20.0,42.0,24.0,660.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298.0,942841,0.0,0.0,23.0,76
WBS1006,0.0,69.0,1077.0,907.0,0.0,740.0,680.0,1160917,2448771,0.0,512.0,1777.0,73.0,222.0,51.0,567309,55.0,362.0,1449.0,95.0,867.0,378025,0.0,0.0,0.0,451.0,220.0,0.0,52.0,0.0,0.0,36.0,29.0,0.0,0.0,99.0,72.0,141.0,37.0,1757.0,0.0,0.0,2846.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,2318939,27.0,0.0,44.0,185
WBS1007,0.0,57.0,1223.0,1018.0,49.0,664.0,180.0,126664,987723,22.0,408.0,1321.0,83.0,182.0,35.0,1487229,87.0,413.0,1022.0,88.0,316.0,174217,16.0,0.0,0.0,407.0,151.0,0.0,35.0,0.0,0.0,50.0,50.0,0.0,16.0,16.0,37.0,99.0,34.0,1293.0,0.0,0.0,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,1749.0,1445192,36.0,0.0,0.0,117
WBS1008,0.0,75.0,867.0,350.0,0.0,353.0,369.0,628651,1627529,0.0,298.0,1073.0,26.0,157.0,30.0,2315921,40.0,222.0,1019.0,31.0,13894.0,64604,29.0,0.0,0.0,236.0,251.0,0.0,84.0,0.0,0.0,39.0,0.0,0.0,0.0,36.0,38.0,91.0,0.0,1043.0,0.0,0.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,204.0,1533693,0.0,0.0,0.0,132
WBS1009,0.0,46.0,700.0,362.0,36.0,367.0,285.0,1008838,1519814,0.0,270.0,947.0,59.0,181.0,34.0,480856,47.0,238.0,890.0,63.0,384.0,52130,0.0,0.0,0.0,323.0,198.0,0.0,40.0,0.0,0.0,16.0,0.0,0.0,0.0,64.0,44.0,84.0,0.0,1109.0,0.0,0.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2165.0,1393611,0.0,0.0,42.0,165
WBS1010,0.0,72.0,1004.0,1288.0,0.0,642.0,609.0,1397943,1743944,0.0,524.0,1613.0,0.0,198.0,45.0,2455469,62.0,448.0,1206.0,84.0,770.0,205497,0.0,0.0,0.0,493.0,268.0,0.0,39.0,0.0,0.0,79.0,73.0,0.0,0.0,59.0,38.0,199.0,55.0,1711.0,0.0,0.0,2495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,115.0,2279303,0.0,0.0,0.0,209
WBS1011,0.0,91.0,848.0,312.0,0.0,312.0,544.0,940148,2300806,0.0,317.0,1525.0,42.0,160.0,0.0,1301961,0.0,290.0,1533.0,38.0,970.0,275499,31.0,0.0,41.0,274.0,368.0,0.0,120.0,0.0,0.0,80.0,63.0,0.0,0.0,81.0,50.0,94.0,26.0,1344.0,0.0,0.0,2652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2786.0,2170688,0.0,0.0,0.0,200
WBS1012,0.0,81.0,1205.0,549.0,33.0,593.0,856.0,355376,1472422,25.0,321.0,1705.0,27.0,256.0,60.0,1729498,72.0,896.0,1369.0,71.0,722.0,130176,32.0,29.0,0.0,359.0,214.0,0.0,45.0,0.0,0.0,54.0,69.0,0.0,22.0,79.0,68.0,121.0,47.0,1670.0,0.0,0.0,3001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,4142.0,2596248,0.0,35.0,56.0,106
WBS1013,0.0,162.0,549.0,230.0,0.0,204.0,620.0,167109,1832608,0.0,321.0,1410.0,18.0,222.0,63.0,9606,0.0,187.0,2049.0,60.0,1231.0,154614,26.0,16.0,12.0,347.0,477.0,0.0,39.0,20.0,0.0,74.0,63.0,19.0,0.0,62.0,32.0,88.0,33.0,1405.0,0.0,0.0,3126.0,16.0,12.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1033.0,2042154,0.0,0.0,16.0,47
WBS1014,0.0,39.0,1987.0,770.0,363.0,1511.0,230.0,422786,1238954,67.0,579.0,2186.0,73.0,511.0,22.0,737738,85.0,1176.0,1692.0,163.0,393.0,139540,0.0,0.0,21.0,879.0,390.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,14.0,62.0,27.0,301.0,111.0,3927.0,0.0,0.0,1436.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,119.0,682.0,2278038,15.0,0.0,0.0,70
WBS1015,0.0,49.0,942.0,1829.0,51.0,747.0,298.0,1180746,1269552,0.0,322.0,1159.0,47.0,199.0,36.0,1455359,86.0,7116.0,1233.0,89.0,519.0,67565,0.0,0.0,30.0,424.0,231.0,0.0,37.0,0.0,0.0,38.0,31.0,0.0,0.0,83.0,32.0,82.0,51.0,1658.0,0.0,0.0,1789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,1556422,40.0,0.0,0.0,139
WBS1016,0.0,97.0,1182.0,956.0,29.0,593.0,397.0,184308,1967427,0.0,379.0,1632.0,51.0,162.0,0.0,2269945,24.0,286.0,1373.0,114.0,720.0,197722,0.0,0.0,0.0,723.0,190.0,0.0,100.0,0.0,0.0,42.0,26.0,0.0,0.0,39.0,116.0,123.0,25.0,1228.0,0.0,0.0,2686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,785.0,2492187,0.0,49.0,0.0,156
WBS1017,0.0,104.0,1505.0,1968.0,45.0,910.0,398.0,298771,1317311,25.0,498.0,2159.0,121.0,371.0,0.0,2654202,125.0,2384.0,1631.0,81.0,464.0,170555,0.0,0.0,26.0,551.0,225.0,0.0,109.0,0.0,0.0,32.0,32.0,0.0,0.0,54.0,36.0,103.0,0.0,1888.0,0.0,0.0,2848.0,0.0,42.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4742.0,3022167,26.0,0.0,0.0,198
WBS1018,0.0,111.0,1084.0,13071.0,0.0,587.0,276.0,560119,2529853,0.0,379.0,1391.0,33.0,178.0,0.0,1387642,38.0,315.0,1089.0,49.0,522.0,73498,0.0,0.0,0.0,348.0,255.0,0.0,114.0,0.0,0.0,0.0,26.0,0.0,0.0,42.0,46.0,70.0,0.0,1207.0,0.0,0.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,237.0,1756031,0.0,0.0,0.0,158
WBS1019,0.0,100.0,935.0,454.0,0.0,367.0,610.0,1005524,1782653,0.0,284.0,1448.0,0.0,168.0,54.0,2258172,0.0,228.0,1493.0,79.0,836.0,345717,0.0,0.0,0.0,296.0,253.0,0.0,91.0,0.0,0.0,62.0,36.0,0.0,0.0,85.0,58.0,99.0,0.0,1325.0,0.0,0.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,3205.0,1965050,0.0,0.0,0.0,308
WBS1020,0.0,59.0,1564.0,810.0,58.0,1460.0,615.0,1861068,1180725,36.0,563.0,2062.0,61.0,267.0,0.0,347693,134.0,8959.0,1676.0,150.0,440.0,102310,29.0,0.0,0.0,610.0,178.0,0.0,50.0,0.0,0.0,33.0,74.0,0.0,31.0,55.0,34.0,97.0,41.0,2846.0,0.0,0.0,2189.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,72.0,2124.0,1882899,0.0,0.0,19.0,116
WBS1021,0.0,63.0,891.0,454.0,44.0,746.0,400.0,428923,1082543,0.0,309.0,1269.0,56.0,262.0,0.0,1965388,65.0,391.0,1290.0,54.0,565.0,106164,0.0,0.0,0.0,381.0,180.0,0.0,54.0,0.0,0.0,51.0,22.0,0.0,0.0,51.0,43.0,99.0,31.0,1525.0,0.0,0.0,2129.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,830.0,1565283,29.0,0.0,18.0,121
WBS1022,0.0,69.0,1162.0,5019.0,47.0,708.0,255.0,173972,874435,29.0,391.0,1105.0,30.0,257.0,0.0,1404534,61.0,709.0,1141.0,36.0,276.0,123501,16.0,0.0,0.0,399.0,168.0,0.0,25.0,15.0,0.0,37.0,27.0,0.0,0.0,16.0,37.0,81.0,28.0,1676.0,0.0,0.0,1882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2358.0,1461214,15.0,0.0,46.0,82
WBS1023,0.0,86.0,2367.0,37063.0,176.0,1709.0,364.0,1729783,1395603,34.0,871.0,2686.0,68.0,400.0,39.0,940130,220.0,989.0,1721.0,176.0,315.0,159920,0.0,0.0,34.0,870.0,148.0,0.0,60.0,0.0,28.0,32.0,46.0,0.0,49.0,28.0,38.0,129.0,33.0,3598.0,0.0,0.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,54.0,5084.0,2439299,23.0,0.0,49.0,71
WBS1024,0.0,119.0,1612.0,787.0,69.0,1156.0,520.0,324885,1338695,37.0,619.0,2038.0,51.0,304.0,26.0,1706660,71.0,692.0,1632.0,77.0,477.0,195051,0.0,0.0,29.0,668.0,201.0,0.0,29.0,22.0,0.0,61.0,36.0,0.0,63.0,59.0,29.0,158.0,83.0,2253.0,0.0,0.0,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,22.0,0.0,0.0,33.0,439.0,2085467,20.0,0.0,0.0,84
WBS1025,0.0,70.0,1558.0,906.0,44.0,1181.0,197.0,2334752,1201756,0.0,622.0,1656.0,91.0,306.0,0.0,1208495,66.0,549.0,1059.0,76.0,186.0,171519,0.0,0.0,0.0,696.0,134.0,0.0,0.0,0.0,0.0,32.0,58.0,0.0,0.0,0.0,40.0,81.0,0.0,2456.0,0.0,0.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1078.0,1864284,0.0,0.0,31.0,160
WBS1026,0.0,63.0,874.0,392.0,17.0,673.0,380.0,310057,1329502,0.0,301.0,1170.0,28.0,186.0,30.0,1428101,50.0,422.0,1087.0,57.0,642.0,315044,25.0,0.0,0.0,349.0,185.0,0.0,115.0,0.0,0.0,45.0,43.0,0.0,0.0,37.0,44.0,78.0,22.0,1393.0,0.0,0.0,1809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,927.0,1463721,0.0,0.0,26.0,116
WBS1027,0.0,218.0,1304.0,836.0,36.0,433.0,1410.0,753716,2212394,0.0,309.0,2628.0,79.0,286.0,58.0,1075004,84.0,257.0,1638.0,61.0,1494.0,107866,34.0,0.0,0.0,360.0,494.0,0.0,215.0,0.0,48.0,80.0,61.0,0.0,0.0,82.0,89.0,139.0,30.0,2174.0,0.0,0.0,4566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,84.0,75.0,0.0,0.0,6313.0,2914091,28.0,0.0,48.0,106
WBS1028,0.0,0.0,699.0,337.0,0.0,391.0,263.0,2282654,1029644,0.0,205.0,812.0,0.0,115.0,0.0,2621512,0.0,182.0,637.0,0.0,300.0,85175,0.0,0.0,0.0,192.0,77.0,0.0,45.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,32.0,47.0,0.0,948.0,0.0,0.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1180707,0.0,0.0,0.0,334
WBS1029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90,107,0.0,0.0,0.0,0.0,0.0,0.0,126,0.0,0.0,0.0,0.0,0.0,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401,0.0,0.0,0.0,0
WBS1030,0.0,179.0,1446.0,726.0,34.0,601.0,415.0,1046255,3038813,0.0,437.0,2502.0,85.0,343.0,0.0,2068922,109.0,425.0,2814.0,55.0,1860.0,135246,0.0,0.0,0.0,657.0,273.0,0.0,35.0,0.0,52.0,48.0,113.0,0.0,45.0,87.0,43.0,155.0,57.0,2081.0,0.0,0.0,3691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,21747.0,3721665,0.0,0.0,49.0,168
WBS1031,0.0,108.0,1746.0,7677.0,61.0,1112.0,641.0,988908,3099041,0.0,734.0,2063.0,76.0,347.0,54.0,3034105,148.0,779.0,2008.0,121.0,729.0,124391,0.0,0.0,0.0,739.0,292.0,0.0,50.0,0.0,0.0,85.0,42.0,0.0,0.0,65.0,91.0,125.0,0.0,4118.0,0.0,0.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,2023.0,3853872,0.0,0.0,0.0,265
WBS1032,0.0,80.0,1079.0,7648.0,27.0,583.0,433.0,683959,1467301,0.0,290.0,1512.0,69.0,280.0,28.0,1302722,77.0,362.0,1090.0,0.0,540.0,158906,0.0,0.0,0.0,379.0,219.0,0.0,28.0,0.0,0.0,45.0,0.0,0.0,22.0,35.0,0.0,71.0,36.0,1651.0,0.0,0.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7354.0,2030633,0.0,0.0,0.0,178
WBS1033,0.0,97.0,859.0,534.0,0.0,349.0,524.0,2492618,1615990,0.0,343.0,1426.0,0.0,139.0,64.0,5986329,58.0,314.0,1246.0,89.0,524.0,59450,0.0,0.0,0.0,358.0,206.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,56.0,0.0,167.0,0.0,2591.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3305.0,2592195,0.0,0.0,79.0,437
WBS1034,0.0,68.0,1172.0,632.0,29.0,557.0,232.0,1023754,1373116,48.0,580.0,1399.0,0.0,185.0,33.0,1897216,124.0,929.0,843.0,134.0,312.0,100843,0.0,0.0,0.0,471.0,161.0,0.0,80.0,0.0,35.0,32.0,48.0,0.0,28.0,28.0,25.0,68.0,28.0,1721.0,0.0,0.0,2037.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,8147.0,2039271,0.0,0.0,0.0,141
WBS1035,0.0,134.0,1486.0,746.0,0.0,629.0,932.0,1705930,3774974,0.0,500.0,2593.0,62.0,357.0,61.0,1436143,82.0,413.0,2553.0,100.0,1263.0,168124,49.0,0.0,0.0,557.0,392.0,0.0,44.0,0.0,0.0,94.0,54.0,0.0,0.0,146.0,73.0,186.0,0.0,2088.0,0.0,0.0,4511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,3155.0,4535476,0.0,0.0,0.0,325
WBS1036,0.0,35.0,1409.0,242637.0,79.0,1264.0,157.0,1213053,449398,58.0,504.0,1518.0,57.0,282.0,0.0,561886,209.0,15033.0,980.0,109.0,99.0,78052,0.0,0.0,0.0,591.0,101.0,0.0,0.0,17.0,0.0,37.0,35.0,0.0,31.0,42.0,26.0,80.0,28.0,2462.0,0.0,0.0,1095.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0,28.0,202.0,1366289,23.0,0.0,0.0,86
WBS1037,0.0,80.0,2839.0,1524.0,131.0,1394.0,911.0,330531,2445411,0.0,737.0,3084.0,133.0,564.0,31.0,1875723,186.0,1044.0,2408.0,199.0,1167.0,283541,30.0,0.0,0.0,1160.0,311.0,0.0,97.0,0.0,48.0,89.0,150.0,0.0,43.0,87.0,91.0,147.0,82.0,3747.0,0.0,0.0,4946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,3967.0,5402248,45.0,0.0,0.0,162
WBS1038,0.0,125.0,1216.0,823.0,34.0,776.0,468.0,445608,1874945,0.0,460.0,1502.0,38.0,218.0,36.0,1437533,71.0,404.0,1609.0,74.0,696.0,94720,26.0,0.0,0.0,388.0,271.0,0.0,70.0,0.0,0.0,53.0,33.0,0.0,23.0,51.0,44.0,138.0,60.0,1774.0,0.0,0.0,2792.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.0,2498244,0.0,0.0,55.0,163
WBS1039,0.0,70.0,979.0,170524.0,0.0,615.0,259.0,481136,1954717,0.0,428.0,1564.0,69.0,161.0,0.0,2545379,102.0,408.0,1065.0,72.0,344.0,157534,0.0,0.0,0.0,619.0,93.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,54.0,162.0,38.0,1332.0,0.0,0.0,1729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6062.0,2005665,0.0,0.0,0.0,238
WBS1040,0.0,72.0,431.0,212.0,0.0,180.0,378.0,997557,2046936,0.0,211.0,832.0,34.0,126.0,0.0,1421392,58.0,149.0,946.0,38.0,696.0,299733,0.0,0.0,0.0,160.0,98.0,0.0,115.0,0.0,27.0,73.0,57.0,0.0,0.0,47.0,46.0,106.0,35.0,710.0,0.0,0.0,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2079.0,1157334,0.0,25.0,0.0,78
WBS1041,0.0,132.0,1244.0,64231.0,46.0,842.0,861.0,708743,2107540,22.0,447.0,1975.0,50.0,272.0,0.0,580465,68.0,440.0,1522.0,98.0,892.0,98661,0.0,0.0,0.0,730.0,258.0,0.0,120.0,0.0,25.0,72.0,34.0,34.0,23.0,95.0,87.0,152.0,56.0,2182.0,0.0,0.0,3083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,0.0,5450.0,2036757,0.0,0.0,0.0,130
WBS1042,0.0,0.0,226.0,803.0,0.0,83.0,87.0,38441,570474,0.0,69.0,510.0,0.0,30.0,0.0,4900874,0.0,58.0,277.0,0.0,27693.0,320406,0.0,0.0,0.0,82.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,48.0,0.0,371.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1016388,0.0,0.0,0.0,148
