Library ID,Original Sample name,SampleType,seq_batch
WBS358,4919,Human fecal samples,1
WBS359,3325,Human fecal samples,1
WBS360,5709,Human fecal samples,1
WBS361,PSA-0371-6,Human fecal samples,1
WBS362,10487,Human fecal samples,1
WBS363,4704,Human fecal samples,1
WBS364,2090,Human fecal samples,1
WBS365,PSA-0261-9,Human fecal samples,1
WBS366,3119,Human fecal samples,1
WBS367,6165,Human fecal samples,1
WBS368,6928,Human fecal samples,1
WBS369,3407,Human fecal samples,1
WBS370,5666,Human fecal samples,1
WBS371,5257,Human fecal samples,1
WBS382,5594,Human fecal samples,1
WBS383,5558,Human fecal samples,1
WBS384,3074,Human fecal samples,1
WBS385,10474,Human fecal samples,1
WBS386,9366,Human fecal samples,1
WBS387,5252,Human fecal samples,1
WBS388,9456,Human fecal samples,1
WBS389,6362,Human fecal samples,1
WBS390,9778,Human fecal samples,1
WBS391,10900,Human fecal samples,1
WBS392,7036,Human fecal samples,1
WBS393,3745,Human fecal samples,1
WBS394,4049,Human fecal samples,1
WBS395,9015,Human fecal samples,1
WBS396,2967,Human fecal samples,1
WBS397,4544,Human fecal samples,1
WBS398,4908,Human fecal samples,1
WBS399,1903,Human fecal samples,1
WBS400,6968,Human fecal samples,1
WBS401,2591,Human fecal samples,1
WBS402,10668,Human fecal samples,1
WBS403,5047,Human fecal samples,1
WBS404,1089,Human fecal samples,1
WBS405,2419,Human fecal samples,1
WBS406,5606,Human fecal samples,1
WBS407,2490,Human fecal samples,1
WBS408,4744,Human fecal samples,1
WBS409,3022,Human fecal samples,1
WBS410,2158,Human fecal samples,1
WBS411,4743,Human fecal samples,1
WBS412,7624,Human fecal samples,1
WBS413,PSA-2270-8,Human fecal samples,1
WBS414,PSA-1190-9,Human fecal samples,1
WBS415,10942,Human fecal samples,1
WBS416,1958,Human fecal samples,1
WBS417,10030,Human fecal samples,1
WBS418,5543,Human fecal samples,1
WBS419,1685,Human fecal samples,1
WBS420,826,Human fecal samples,1
WBS421,4087,Human fecal samples,1
WBS422,PSA-2247-6,Human fecal samples,1
WBS423,2231,Human fecal samples,1
WBS424,5052,Human fecal samples,1
WBS425,6082,Human fecal samples,1
WBS426,PSA-1114-9,Human fecal samples,1
WBS427,PSA-1908-4,Human fecal samples,1
WBS428,PSA-0520-8,Human fecal samples,1
WBS429,3732,Human fecal samples,1
WBS430,1702,Human fecal samples,1
WBS431,PSA-1952-2,Human fecal samples,1
WBS432,PSA-1890-4,Human fecal samples,1
WBS433,PSA-1859-9,Human fecal samples,1
WBS434,PSA-0263-5,Human fecal samples,1
WBS435,2614,Human fecal samples,1
WBS436,1960,Human fecal samples,1
WBS437,PSA-2113-0,Human fecal samples,1
WBS438,PSA-1224-6,Human fecal samples,1
WBS439,1029,Human fecal samples,1
WBS440,9729,Human fecal samples,1
WBS441,7883,Human fecal samples,1
WBS442,PSA-2112-2,Human fecal samples,1
WBS443,PSA-1864-9,Human fecal samples,1
WBS444,6776,Human fecal samples,1
WBS445,PSA-0853-3,Human fecal samples,1
WBS446,PSA-0303-9,Human fecal samples,1
WBS447,PSA-2201-3,Human fecal samples,1
WBS448,1230,Human fecal samples,1
WBS449,3438,Human fecal samples,1
WBS450,5344,Human fecal samples,1
WBS451,5194,Human fecal samples,1
WBS452,3347,Human fecal samples,1
WBS454,10805,Human fecal samples,1
WBS455,10388,Human fecal samples,1
WBS456,9564,Human fecal samples,1
WBS457,10818,Human fecal samples,1
WBS458,10159,Human fecal samples,1
WBS459,9794,Human fecal samples,1
WBS460,9793,Human fecal samples,1
WBS461,9749,Human fecal samples,1
WBS462,8838,Human fecal samples,1
WBS463,10114,Human fecal samples,1
WBS464,9609,Human fecal samples,1
WBS465,10171,Human fecal samples,1
WBS466,10876,Human fecal samples,1
WBS467,9706,Human fecal samples,1
WBS468,6268,Human fecal samples,1
WBS469,7352,Human fecal samples,1
WBS470,7336,Human fecal samples,1
WBS471,6042,Human fecal samples,1
WBS472,9946,Human fecal samples,1
WBS473,9126,Human fecal samples,1
WBS474,10807,Human fecal samples,1
WBS475,6451,Human fecal samples,1
WBS476,5038,Human fecal samples,1
WBS477,6502,Human fecal samples,1
WBS1000,PSA-0353-4,Human fecal samples,3
WBS1001,PSA-0355-9,Human fecal samples,3
WBS1002,PSA-0356-7,Human fecal samples,3
WBS1003,PSA-0365-8,Human fecal samples,3
WBS1004,PSA-0387-2,Human fecal samples,3
WBS1005,PSA-0400-3,Human fecal samples,3
WBS1006,PSA-0415-1,Human fecal samples,3
WBS1007,PSA-0428-4,Human fecal samples,3
WBS1008,PSA-0432-6,Human fecal samples,3
WBS1009,PSA-0450-8,Human fecal samples,3
WBS1010,PSA-0484-7,Human fecal samples,3
WBS1011,PSA-0491-2,Human fecal samples,3
WBS1012,PSA-0492-0,Human fecal samples,3
WBS1013,PSA-0495-3,Human fecal samples,3
WBS1014,PSA-0541-4,Human fecal samples,3
WBS1015,PSA-0546-3,Human fecal samples,3
WBS1016,PSA-0549-7,Human fecal samples,3
WBS1017,PSA-0589-3,Human fecal samples,3
WBS1018,PSA-0599-2,Human fecal samples,3
WBS1019,PSA-0618-0,Human fecal samples,3
WBS1020,PSA-0637-0,Human fecal samples,3
WBS1021,PSA-0642-0,Human fecal samples,3
WBS1022,PSA-0652-9,Human fecal samples,3
WBS1023,PSA-0675-0,Human fecal samples,3
WBS1024,PSA-0682-6,Human fecal samples,3
WBS1025,PSA-0688-3,Human fecal samples,3
WBS1026,PSA-0696-6,Human fecal samples,3
WBS1027,PSA-0704-8,Human fecal samples,3
WBS1028,PSA-0721-2,Human fecal samples,3
WBS1030,PSA-0723-8,Human fecal samples,3
WBS1031,PSA-0724-6,Human fecal samples,3
WBS1032,PSA-0725-3,Human fecal samples,3
WBS1033,PSA-0766-7,Human fecal samples,3
WBS1034,PSA-0804-6,Human fecal samples,3
WBS1035,PSA-0817-8,Human fecal samples,3
WBS1036,PSA-0875-6,Human fecal samples,3
WBS1037,PSA-0915-0,Human fecal samples,3
WBS1038,10689,Human fecal samples,3
WBS1039,10690,Human fecal samples,3
WBS1040,10691,Human fecal samples,3
WBS1041,10692,Human fecal samples,3
WBS1042,10695,Human fecal samples,3
WBS1043,10697,Human fecal samples,3
WBS1044,10700,Human fecal samples,3
WBS1045,10701,Human fecal samples,3
WBS1046,PSA-0925-9,Human fecal samples,3
WBS1047,PSA-0927-5,Human fecal samples,3
WBS1048,PSA-0982-0,Human fecal samples,3
WBS1049,PSA-1003-4,Human fecal samples,3
WBS1050,PSA-1029-9,Human fecal samples,3
WBS1051,PSA-1085-1,Human fecal samples,3
WBS1052,PSA-1115-6,Human fecal samples,3
WBS1053,PSA-1173-5,Human fecal samples,3
WBS1054,PSA-1201-4,Human fecal samples,3
WBS1055,PSA-1203-0,Human fecal samples,3
WBS1056,PSA-1256-8,Human fecal samples,3
WBS1057,PSA-1267-5,Human fecal samples,3
WBS1058,PSA-1268-3,Human fecal samples,3
WBS1059,PSA-1307-9,Human fecal samples,3
WBS1060,PSA-1310-3,Human fecal samples,3
